,Protons,Neutrons,Atomic Weight,Mass Excess,Binding Energy,Half-life,Half-life Magnitude,Half-life Time
0,1,0,1.00782503207,7.2889705,0.0,2.486929000002984e+62,62.0,8.0
1,1,1,2.01410177785,13.13572158,1.112283,2.486929000002984e+62,62.0,8.0
2,1,2,3.01604927767,14.949806,2.827266,388572800.0,8.0,7.019867545317982
3,1,3,4.027806424,25.901518,1.400351,9.917391304348e-23,-23.0,9.917391304348e-17
4,1,4,5.035311488,32.89244,1.33636,8.003508771930002e-23,-23.0,8.003508771930002e-17
5,1,5,6.044942594,41.863757,0.963633,2.9e-22,-22.0,2.9000000000000003e-16
6,1,6,7.052749,49.135,0.9401,2.2999999999999998e-23,-23.0,2.2999999999999998e-17
7,2,0,,,,,,
8,2,1,3.01602931914,14.93121475,2.572681,2.486929000002984e+62,62.0,8.0
9,2,2,4.00260325415,2.42491565,7.073915,2.486929000002984e+62,62.0,8.0
10,2,3,5.012223624,11.386233,5.481132,7.603333333333001e-22,-22.0,7.603333333333002e-16
11,2,4,6.018889124,17.595106,4.878017,0.8067000000000001,-1.0,2.968904018980988
12,2,5,7.028020618,26.101038,4.11907,3.041333333333e-21,-21.0,3.041333333333e-15
13,2,6,8.033921897,31.598044,3.925975,0.11900000000000001,-1.0,2.6918489871308435
14,2,7,9.043950286,40.939429,3.348637,7e-21,-21.0,7.000000000000001e-15
15,2,8,10.052398837,48.809203,3.033927,1.5206666666669999e-21,-21.0,1.5206666666669999e-15
16,3,0,3.030775,28.667,2.2676,,,
17,3,1,4.027185558,25.323185,1.153761,7.565505804312001e-23,-23.0,7.565505804312002e-17
18,3,2,5.0125378,11.678886,5.266132,3.041333333333e-22,-22.0,3.041333333333e-16
19,3,3,6.015122794,14.086793,5.332345,2.486929000002984e+62,62.0,8.0
20,3,4,7.016004548,14.908141,5.606291,2.486929000002984e+62,62.0,8.0
21,3,5,8.022487362,20.946844,5.159582,0.8399,-1.0,2.974742527086706
22,3,6,9.026789505,24.954264,5.037839,0.17830000000000001,-1.0,2.7503837810584515
23,3,7,10.035481259,33.050581,4.531555,2.0000000000000002e-21,-21.0,2e-15
24,3,8,11.043797715,40.79731,4.149104,0.00859,-3.0,2.311331054610414
25,3,9,12.05378,50.096,3.701,1e-08,-8.0,0.01
26,4,1,5.04079,37.996,-0.1547,,,
27,4,2,6.019726317,18.374947,4.487262,5e-21,-21.0,5e-15
28,4,3,7.016929828,15.770034,5.3714,4597999.9999997765,6.0,6.673636978972146
29,4,4,8.005305103,4.941672,7.062435,8.190305206463e-17,-17.0,8.190305206463e-11
30,4,5,9.012182201,11.347648,6.462758,2.486929000002984e+62,62.0,8.0
31,4,6,10.013533818,12.60667,6.497711,47706050228324.04,13.0,7.1125705043361425
32,4,7,11.021657749,20.174064,5.952822,13.81,1.0,3.6412242368767167
33,4,8,12.026920737,25.076506,5.720826,0.021500000000000002,-2.0,2.444146153305202
34,4,9,13.035693007,33.247823,5.27307,2.7000000000000005e-21,-21.0,2.7000000000000005e-15
35,4,10,14.04289292,39.954498,4.993897,0.00435,-3.0,2.2128297523182123
36,4,11,15.05346,49.798,4.543,2.0000000000000002e-07,-7.0,0.20000000000000004
37,4,12,16.06192,57.678,4.271,2.0000000000000002e-07,-7.0,0.20000000000000004
38,5,1,6.04681,43.603,0.1521,,,
39,5,2,7.029917901,27.868346,3.531306,3.258571428571e-22,-22.0,3.2585714285710003e-16
40,5,3,8.024607233,22.92149,4.717164,0.77,-1.0,2.962163575057494
41,5,4,9.013328782,12.415681,6.25716,8.448148148148002e-19,-19.0,8.448148148148002e-13
42,5,5,10.012936992,12.050731,6.475071,2.486929000002984e+62,62.0,8.0
43,5,6,11.009305406,8.667931,6.927711,2.486929000002984e+62,62.0,8.0
44,5,7,12.014352104,13.368899,6.631264,0.0202,-2.0,2.4351171231488746
