,Protons,Neutrons,Atomic Weight,Mass Excess,Binding Energy,Half-life
0,1,0,1.00782503207,7.2889705MeV,0MeV,Stable
1,1,1,2.01410177785,13.13572158MeV,1.112283MeV,Stable
2,1,2,3.01604927767,14.949806MeV,2.827266MeV,12.32 y
3,1,3,4.027806424,25.901518MeV,1.400351MeV,9.917391304348×10-14 ns
4,1,4,5.035311488,32.89244MeV,1.33636MeV,8.00350877193×10-14 ns
5,1,5,6.044942594,41.863757MeV,0.963633MeV,2.9×10-13 ns
6,1,6,7.052749,49.135MeV,0.9401MeV,2.3×10-14 ns
7,2,0,N/A,N/A,N/A,N/A
8,2,1,3.01602931914,14.93121475MeV,2.572681MeV,Stable
9,2,2,4.00260325415,2.42491565MeV,7.073915MeV,Stable
10,2,3,5.012223624,11.386233MeV,5.481132MeV,7.603333333333×10-13 ns
11,2,4,6.018889124,17.595106MeV,4.878017MeV,806.7 ms
12,2,5,7.028020618,26.101038MeV,4.11907MeV,3.041333333333×10-12 ns
13,2,6,8.033921897,31.598044MeV,3.925975MeV,119 ms
14,2,7,9.043950286,40.939429MeV,3.348637MeV,7×10-12 ns
15,2,8,10.052398837,48.809203MeV,3.033927MeV,1.520666666667×10-12 ns
16,3,0,3.030775,28.667MeV,2.2676MeV,N/A
17,3,1,4.027185558,25.323185MeV,1.153761MeV,7.565505804312×10-14 ns
18,3,2,5.0125378,11.678886MeV,5.266132MeV,3.041333333333×10-13 ns
19,3,3,6.015122794,14.086793MeV,5.332345MeV,Stable
20,3,4,7.016004548,14.908141MeV,5.606291MeV,Stable
21,3,5,8.022487362,20.946844MeV,5.159582MeV,839.9 ms
22,3,6,9.026789505,24.954264MeV,5.037839MeV,178.3 ms
23,3,7,10.035481259,33.050581MeV,4.531555MeV,2×10-12 ns
24,3,8,11.043797715,40.79731MeV,4.149104MeV,8.59 ms
25,3,9,12.05378,50.096MeV,3.701MeV,10 ns
26,4,1,5.04079,37.996MeV,-0.1547MeV,N/A
27,4,2,6.019726317,18.374947MeV,4.487262MeV,5×10-12 ns
28,4,3,7.016929828,15.770034MeV,5.3714MeV,53.21759259259 d
29,4,4,8.005305103,4.941672MeV,7.062435MeV,8.190305206463×10-8 ns
30,4,5,9.012182201,11.347648MeV,6.462758MeV,Stable
31,4,6,10.013533818,12.60667MeV,6.497711MeV,1.512557077626×106 y
32,4,7,11.021657749,20.174064MeV,5.952822MeV,13.81 s
33,4,8,12.026920737,25.076506MeV,5.720826MeV,21.5 ms
34,4,9,13.035693007,33.247823MeV,5.27307MeV,2.7×10-12 ns
35,4,10,14.04289292,39.954498MeV,4.993897MeV,4.35 ms
36,4,11,15.05346,49.798MeV,4.543MeV,200 ns
37,4,12,16.06192,57.678MeV,4.271MeV,200 ns
38,5,1,6.04681,43.603MeV,0.1521MeV,N/A
39,5,2,7.029917901,27.868346MeV,3.531306MeV,3.258571428571×10-13 ns
40,5,3,8.024607233,22.92149MeV,4.717164MeV,770 ms
41,5,4,9.013328782,12.415681MeV,6.25716MeV,8.448148148148×10-10 ns
42,5,5,10.012936992,12.050731MeV,6.475071MeV,Stable
43,5,6,11.009305406,8.667931MeV,6.927711MeV,Stable
44,5,7,12.014352104,13.368899MeV,6.631264MeV,20.2 ms
45,5,8,13.017780217,16.562166MeV,6.496402MeV,17.33 ms
46,5,9,14.025404009,23.663683MeV,6.101645MeV,12.5 ms
47,5,10,15.031103021,28.972278MeV,5.87905MeV,9.93 ms
48,5,11,16.039808829,37.081686MeV,5.509228MeV,0.19 ns
49,5,12,17.046989906,43.770816MeV,5.266461MeV,5.08 ms
50,5,13,18.05617,52.322MeV,4.947MeV,26 ns
51,5,14,19.06373,59.364MeV,4.741MeV,2.92 ms
52,6,2,8.037675025,35.09406MeV,3.0978MeV,2×10-12 ns
53,6,3,9.031036689,28.910491MeV,4.337476MeV,126.5 ms
54,6,4,10.016853228,15.698682MeV,6.032041MeV,19.29 s
55,6,5,11.011433613,10.650342MeV,6.67637MeV,20.334 m
56,6,6,12,0MeV,7.680144MeV,Stable
57,6,7,13.00335483778,3.12501129MeV,7.469849MeV,Stable
58,6,8,14.0032419887,3.01989305MeV,7.520319MeV,5707.762557078 y
59,6,9,15.010599256,9.873144MeV,7.100169MeV,2.449 s
60,6,10,16.014701252,13.694129MeV,6.922054MeV,747 ms
61,6,11,17.022586116,21.038832MeV,6.557616MeV,193 ms
62,6,12,18.026759354,24.926178MeV,6.425747MeV,91 ms
63,6,13,19.034805018,32.420666MeV,6.117909MeV,49 ms
64,6,14,20.040319754,37.55761MeV,5.958733MeV,14 ms
65,6,15,21.04934,45.96MeV,5.659MeV,29.99999999998 ns
66,6,16,22.0572,53.281MeV,5.436MeV,6.2 ms
67,7,3,10.041653674,38.800148MeV,3.64366MeV,2×10-13 ns
68,7,4,11.026090956,24.303569MeV,5.364045MeV,5.9×10-13 ns
69,7,5,12.018613197,17.338082MeV,6.170108MeV,11 ms
70,7,6,13.005738609,5.345481MeV,7.238863MeV,9.965 m
71,7,7,14.00307400478,2.86341704MeV,7.475614MeV,Stable
72,7,8,15.00010889823,0.10143805MeV,7.699459MeV,Stable
73,7,9,16.006101658,5.683658MeV,7.373812MeV,7.13 s
74,7,10,17.008450261,7.871368MeV,7.286153MeV,4.173 s
75,7,11,18.014078959,13.114466MeV,7.03849MeV,624 ms
76,7,12,19.017028697,15.862129MeV,6.948235MeV,271 ms
77,7,13,20.023365807,21.76511MeV,6.70924MeV,130 ms
78,7,14,21.02710824,25.251164MeV,6.608099MeV,85 ms
79,7,15,22.034394934,32.038675MeV,6.366085MeV,24 ms
80,7,16,23.04122,38.396MeV,6.164MeV,14.5 ms
81,7,17,24.05104,47.543MeV,5.862MeV,52.00000000001 ns
82,7,18,25.06066,56.504MeV,5.592MeV,260 ns
83,8,4,12.034404895,32.047954MeV,4.87909MeV,1.1405×10-12 ns
84,8,5,13.024812213,23.112428MeV,5.811994MeV,8.59 ms
85,8,6,14.00859625,8.007356MeV,7.052308MeV,1.176766666667 m
86,8,7,15.003065617,2.855605MeV,7.463692MeV,2.037333333333 m
87,8,8,15.99491461956,-4.73700141MeV,7.976206MeV,Stable
88,8,9,16.999131703,-0.808813MeV,7.750731MeV,Stable
89,8,10,17.999161001,-0.781522MeV,7.767025MeV,Stable
90,8,11,19.00358013,3.33487MeV,7.566389MeV,26.88 s
91,8,12,20.004076742,3.797462MeV,7.568505MeV,13.51 s
92,8,13,21.008655886,8.062906MeV,7.389332MeV,3.42 s
93,8,14,22.009966947,9.284152MeV,7.364821MeV,2.25 s
94,8,15,23.015687659,14.61296MeV,7.16385MeV,82 ms
95,8,16,24.020472917,19.0704MeV,7.015935MeV,65 ms
96,8,17,25.02946,27.442MeV,6.723MeV,49.99999999997 ns
97,8,18,26.03834,35.713MeV,6.457MeV,39.99999999998 ns
98,8,19,27.04826,44.954MeV,6.175MeV,260 ns
99,8,20,28.05781,53.85MeV,5.925MeV,100 ns
100,9,5,14.03506,32.658MeV,5.236MeV,N/A
101,9,6,15.018009103,16.775372MeV,6.483551MeV,4.562×10-13 ns
102,9,7,16.011465724,10.680254MeV,6.963731MeV,1.1405×10-11 ns
103,9,8,17.002095237,1.951701MeV,7.542328MeV,1.074833333333 m
104,9,9,18.000937956,0.873701MeV,7.631605MeV,1.829516666667 h
105,9,10,18.998403224,-1.487386MeV,7.779015MeV,Stable
106,9,11,19.999981315,-0.017404MeV,7.720131MeV,11.07 s
107,9,12,20.999948951,-0.047551MeV,7.73829MeV,4.158 s
108,9,13,22.002998815,2.793378MeV,7.624294MeV,4.23 s
109,9,14,23.003574631,3.329747MeV,7.62041MeV,2.23 s
110,9,15,24.008115485,7.559527MeV,7.462957MeV,390 ms
111,9,16,25.012101747,11.272706MeV,7.338764MeV,50 ms
112,9,17,26.019615555,18.271772MeV,7.097744MeV,9.6 ms
113,9,18,27.026760086,24.92686MeV,6.887318MeV,5 ms
114,9,19,28.03567,33.226MeV,6.633MeV,39.99999999998 ns
115,9,20,29.04326,40.296MeV,6.439MeV,2.5 ms
116,9,21,30.0525,48.903MeV,6.206MeV,260 ns
117,9,22,31.060429,56.289MeV,6.028MeV,250 ns
118,10,6,16.025761262,23.996462MeV,6.082572MeV,3.739344262295×10-12 ns
119,10,7,17.017671504,16.460901MeV,6.642825MeV,109.2 ms
120,10,8,18.005708213,5.317166MeV,7.341282MeV,1.672 s
121,10,9,19.001880248,1.75144MeV,7.567375MeV,17.22 s
122,10,10,19.99244017542,-7.04193131MeV,8.03224MeV,Stable
123,10,11,20.993846684,-5.731776MeV,7.971713MeV,Stable
124,10,12,21.991385113,-8.024715MeV,8.080465MeV,Stable
125,10,13,22.994466904,-5.154045MeV,7.955255MeV,37.24 s
