Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
0,1.0,,,,,8.07132
1,0.0,H-nat,1.00794,0.0069,,7.28897
1,0.0,H- 1,1.00782503223,0.0,-1.0,7.28897
1,1.0,H- 2,2.01410177812,0.0,-1.0,13.1357
1,2.0,H- 3,3.0160492779,0.0,12.32Y 2,14.9498
1,3.0,,,,,24.62
1,4.0,,,,,32.89
1,5.0,,,,,41.88
1,6.0,,,,,49.14
2,1.0,He- 3,3.01602932007,0.0,-1.0,14.9312
2,2.0,He-nat,4.002602,0.0,,2.42492
2,2.0,He- 4,4.00260325413,0.0,-1.0,2.42492
2,3.0,,,,,11.231
2,4.0,He- 6,6.018886648,0.0,806.7MS 1,17.5921
2,5.0,,,,,26.073
2,6.0,He- 8,8.033934307,0.0,119.1MS 12,31.6097
2,7.0,,,,,40.94
2,8.0,,,,,49.17
3,0.0,,,,,28.67
3,1.0,,,,,25.32
3,2.0,,,,,11.68
3,3.0,Li-nat,6.941,0.0288,,14.0869
3,3.0,Li- 6,6.01512288741,0.0,-1.0,14.0869
3,4.0,Li- 7,7.01600342665,0.0,-1.0,14.9071
3,5.0,Li- 8,8.022486238,0.0,839.9MS 9,20.9458
3,6.0,Li- 9,9.026790199,0.0,178.3MS 4,24.9549
3,7.0,,,,,33.053000000000004
3,8.0,Li- 11,11.043723754,0.0,8.7MS 1,40.7283
3,9.0,,,,,48.92
3,10.0,,,,,58.34
4,1.0,,,,,37.14
4,2.0,,,,,18.375
4,3.0,Be- 7,7.016928707,0.0,53.22D 6,15.769
4,4.0,Be- 8,8.005305102,0.0,6.7E-17S,4.9416699999999985
4,5.0,Be-nat,9.012182,0.0,,11.3484
4,5.0,Be- 9,9.01218305,0.0,-1.0,11.3484
4,6.0,Be- 10,10.013534679,0.0,1.51E6Y 6,12.6075
4,7.0,Be- 11,11.021661078,0.0,13.81S 8,20.1772
4,8.0,Be- 12,12.026920848,0.0,21.3MS 1,25.0778
4,9.0,,,,,33.659
4,10.0,Be- 14,14.04289292,0.001,4.84MS 10,39.95
4,11.0,,,,,49.76
4,12.0,,,,,57.45
5,1.0,,,,,47.32
5,2.0,,,,,27.677
5,3.0,B- 8,8.024607326,0.0,770MS 3,22.9216
5,4.0,B- 9,9.013329633,0.0,0.85AS 33,12.4165
5,5.0,B-nat,10.811,0.0647,,12.0507
5,5.0,B- 10,10.01293699,0.0,-1.0,12.0507
5,6.0,B- 11,11.009305404,0.0,-1.0,8.6679
5,7.0,B- 12,12.014352104,0.0,20.20MS 2,13.3694
5,8.0,B- 13,13.017780216,0.0,17.36MS 16,16.5621
5,9.0,B- 14,14.025404012,0.0002,12.5MS 5,23.664
5,10.0,B- 15,15.031094117,0.0002,10.5MS 3,28.958
5,11.0,,,,,37.112
5,12.0,B- 17,17.046989906,0.0011,5.08MS 5,43.77
5,13.0,,,,,51.85
5,14.0,B- 19,19.0631,0.0023,2.92MS 13,58.78
5,15.0,,,,,67.13
5,16.0,,,,,75.72
6,2.0,,,,,35.064
6,3.0,C- 9,9.031035568,0.0,126.5MS 9,28.911
6,4.0,C- 10,10.01685323,0.0,19.310S 4,15.6988
6,5.0,C- 11,11.011433611,0.0,1223.1S 12,10.6503
6,6.0,C-nat,12.0107,0.0067,,0.0
6,6.0,C- 12,12.0,0.0,-1.0,0.0
6,7.0,C- 13,13.00335483507,0.0,-1.0,3.12501
6,8.0,C- 14,14.00324198842,0.0,5700Y 30,3.01989
6,9.0,C- 15,15.010599256,0.0,2.449S 5,9.8731
6,10.0,C- 16,16.014701252,0.0,0.747S 8,13.694
6,11.0,C- 17,17.022579037,0.0001,193MS 13,21.031
6,12.0,C- 18,18.026752275,0.0002,92MS 2,24.92
6,13.0,C- 19,19.034797939,0.0006,49MS 4,32.41
6,14.0,C- 20,20.040319754,0.0013,14MS +6 -5,37.56
6,15.0,,,,,45.64
6,16.0,C- 22,22.05597,0.0024,6.1MS +14 -12,53.59
6,17.0,,,,,64.17
7,3.0,,,,,38.8
7,4.0,,,,,24.3
7,5.0,N- 12,12.018613196,0.0,11.000MS 16,17.3381
7,6.0,N- 13,13.005738609,0.0,9.965M 4,5.34548
7,7.0,N-nat,14.0067,0.0014,,2.86342
7,7.0,N- 14,14.00307400443,0.0,-1.0,2.86342
7,8.0,N- 15,15.00010889888,0.0,-1.0,0.101439
7,9.0,N- 16,16.006101659,0.0,7.13S 2,5.6839
7,10.0,N- 17,17.008448873,0.0001,4.173S 4,7.87
7,11.0,N- 18,18.014077565,0.0001,619MS 2,13.113
7,12.0,N- 19,19.017023163,0.0001,0.271S 8,15.856
7,13.0,N- 20,20.023365807,0.0003,130MS 7,21.77
7,14.0,N- 21,21.02710824,0.0005,95MS +15 -11,25.25
7,15.0,N- 22,22.034394934,0.0009,24MS +7 -6,32.04
7,16.0,N- 23,23.04127,0.0014,14.1MS +12 -15,38.32
7,17.0,,,,,46.94
7,18.0,,,,,55.98
8,4.0,,,,,31.915
8,5.0,O- 13,13.024814683,0.0001,8.58MS 5,23.115
8,6.0,O- 14,14.008596359,0.0,70.606S 18,8.00746
8,7.0,O-nat,15.9994,0.0019,,2.8556
8,7.0,O- 15,15.003065618,0.0,122.24S 16,2.8556
