Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M,N/P,Adj. N/P,P/N,Adj. P/N,M/P,M/N,M*N/P,M*P/N,Adj. M*N/P,Adj. M*P/N,N/Mass,P/Mass,Adj. N/Mass,Adj. P/Mass,Adj. N/Mass - Z,Adj. P/Mass - Z,Half Life (Seconds),Half Life Seconds Value,Magnitude of Value,isStable,(-ZM/N)^Adj. P/Mass,-ZM/N
0,1.0,,,,,8.07132,,,0.0,1.0,,8.07132,,0.0,,8.07132,,,,,,,,,,,,0.0
1,0.0,H-nat,1.00794,0.0069,,7.28897,0.0,1.0,,,7.28897,,0.0,,7.28897,,0.0,0.9921225469770025,1.0,0.007877453022997472,0.0,-0.9921225469770025,,,,,inf,-inf
1,0.0,H- 1,1.00782503223,0.0,-1.0,7.28897,0.0,1.0,,,7.28897,,0.0,,7.28897,,0.0,0.9922357234839805,1.0,0.007764276516019519,0.0,-0.9922357234839805,-1.0,2,2.0,1.0,inf,-inf
1,1.0,H- 2,2.01410177812,0.0,-1.0,13.1357,1.0,0.0,1.0,0.0,13.1357,13.1357,13.1357,13.1357,0.0,0.0,0.49649923894780457,0.49649923894780457,0.5035007610521954,0.5035007610521954,-0.49649923894780457,-0.49649923894780457,-1.0,2,2.0,1.0,,-13.1357
1,2.0,H- 3,3.0160492779,0.0,12.32Y 2,14.9498,2.0,1.0,0.5,0.5,14.9498,7.4749,29.8996,7.4749,14.9498,7.4749,0.6631191388864012,0.3315595694432006,0.33688086111359883,0.6684404305567995,-0.6631191388864012,-0.33155956944320053,388523520.00000006,3.885235,8.0,1.0,,-7.4749
1,3.0,,,,,24.62,3.0,2.0,0.3333333333333333,0.6666666666666667,24.62,8.206666666666667,73.86,8.206666666666667,49.24,16.413333333333338,,,,,,,,,,,,-8.206666666666667
1,4.0,,,,,32.89,4.0,3.0,0.25,0.75,32.89,8.2225,131.56,8.2225,98.67,24.6675,,,,,,,,,,,,-8.2225
1,5.0,,,,,41.88,5.0,4.0,0.2,0.8,41.88,8.376000000000001,209.4,8.376000000000001,167.52,33.504000000000005,,,,,,,,,,,,-8.376000000000001
1,6.0,,,,,49.14,6.0,5.0,0.16666666666666666,0.8333333333333334,49.14,8.19,294.84000000000003,8.19,245.7,40.95,,,,,,,,,,,,-8.19
2,1.0,He- 3,3.0160293200700004,0.0,-1.0,14.9312,0.5,0.5,2.0,1.0,7.4656,14.9312,7.4656,29.8624,7.4656,14.9312,0.3315617634568588,0.6631235269137176,0.6684382365431412,0.33687647308628244,-1.3315617634568588,-1.6631235269137177,-1.0,2,2.0,1.0,,-29.8624
2,2.0,He-nat,4.0026019999999995,0.0,,2.42492,1.0,0.0,1.0,0.0,1.21246,1.21246,2.42492,2.42492,0.0,0.0,0.4996749614375849,0.4996749614375849,0.5003250385624152,0.5003250385624152,-1.4996749614375848,-1.4996749614375848,,,,,,-2.42492
2,2.0,He- 4,4.00260325413,0.0,-1.0,2.42492,1.0,0.0,1.0,0.0,1.21246,1.21246,2.42492,2.42492,0.0,0.0,0.49967480487513793,0.49967480487513793,0.5003251951248621,0.5003251951248621,-1.4996748048751378,-1.4996748048751378,-1.0,2,2.0,1.0,,-2.42492
2,3.0,,,,,11.231,1.5,0.5,0.6666666666666666,0.33333333333333337,5.6155,3.7436666666666665,16.8465,7.487333333333333,5.6155,3.743666666666667,,,,,,,,,,,,-7.487333333333333
2,4.0,He- 6,6.018886648,0.0,806.7MS 1,17.5921,2.0,1.0,0.5,0.5,8.79605,4.398025,35.1842,8.79605,17.5921,8.79605,0.6645747351512509,0.33228736757562544,0.3354252648487491,0.6677126324243745,-1.664574735151251,-1.3322873675756255,0.8067000000000001,8.067,-1.0,0.0,,-8.79605
