Z,Nuclide,mass,spin & parity,abundance,half-life,sig(J32),sig(J33),sig(J40)
1,H-nat,1.00794 +- 0.00007,,,,,,XXX
1,H- 1,1.00782503223 +- 0.00000000009,1/2+,99.9885,stable,XXX,XXX,XXX
1,H- 2,2.01410177812 +- 0.00000000012,1+,0.0115,stable,XXX,XXX,XXX
1,H- 3,3.01604927790 +- 0.00000000237,1/2+,,12.32Y 2,,,
2,He-nat,4.002602 +- 0.000002,,,,,,XXX
2,He- 3,3.01602932007 +- 0.00000000250,1/2+,0.000134,stable,XXX,XXX,XXX
2,He- 4,4.00260325413 +- 0.00000000006,0+,99.999866,stable,XXX,XXX,XXX
2,He- 6,6.018886648 +- 0.000000450,0+,,806.7MS 1,,,
2,He- 8,8.033934307 +- 0.000000190,0+,,119.1MS 12,,,
3,Li-nat,6.941 +- 0.002,,,,,,XXX
3,Li- 6,6.01512288741 +- 0.00000000155,1+,7.59,stable,XXX,XXX,XXX
3,Li- 7,7.01600342665 +- 0.00000000454,3/2-,92.41,stable,XXX,XXX,XXX
3,Li- 8,8.022486238 +- 0.000000050,2+,,839.9MS 9,,,
3,Li- 9,9.026790199 +- 0.000000092,3/2-,,178.3MS 4,,,
3,Li- 11,11.043723754 +- 0.000001200,3/2-,,8.7MS 1,,,
4,Be-nat,9.012182 +- 0.000003,,,,,,XXX
4,Be- 7,7.016928707 +- 0.000000076,3/2-,,53.22D 6,,,
4,Be- 8,8.005305102 +- 0.000000037,0+,,6.7E-17S,,,
4,Be- 9,9.012183050 +- 0.000000082,3/2-,100,stable,XXX,XXX,XXX
4,Be- 10,10.013534679 +- 0.000000086,0+,,1.51E6Y 6,,,
4,Be- 11,11.021661078 +- 0.000000255,1/2+,,13.81S 8,,,
4,Be- 12,12.026920848 +- 0.000004509,0+,,21.3MS 1,,,
4,Be- 14,14.042892920 +- 0.000141970,0+,,4.84MS 10,,,
5,B-nat,10.811 +- 0.007,,,,,,XXX
5,B- 8,8.024607326 +- 0.000001073,2+,,770MS 3,,,
5,B- 9,9.013329633 +- 0.000000969,3/2-,,0.85AS 33,,,
5,B- 10,10.012936990 +- 0.000000413,3+,19.9,stable,XXX,XXX,XXX
5,B- 11,11.009305404 +- 0.000000448,3/2-,80.1,stable,XXX,XXX,XXX
5,B- 12,12.014352104 +- 0.000001502,1+,,20.20MS 2,,,
5,B- 13,13.017780216 +- 0.000001163,3/2-,,17.36MS 16,,,
5,B- 14,14.025404012 +- 0.000022773,2-,,12.5MS 5,,,
5,B- 15,15.031094117 +- 0.000024005,,,10.5MS 3,,,
5,B- 17,17.046989906 +- 0.000183440,(3/2-),,5.08MS 5,,,
5,B- 19,19.063100 +- 0.000430,,,2.92MS 13,,,
6,C-nat,12.0107 +- 0.0008,,,,,XXX,XXX
6,C- 9,9.031035568 +- 0.000002293,(3/2-),,126.5MS 9,,,
6,C- 10,10.016853230 +- 0.000000432,0+,,19.310S 4,,,
6,C- 11,11.011433611 +- 0.000001020,3/2-,,1223.1S 12,,,
6,C- 12,12.0000000 +- 0.0000000,0+,98.93,stable,XXX,,
6,C- 13,13.00335483507 +- 0.00000000023,1/2-,1.07,stable,,,
6,C- 14,14.00324198842 +- 0.00000000403,0+,,5700Y 30,,,
6,C- 15,15.010599256 +- 0.000000858,1/2+,,2.449S 5,,,
6,C- 16,16.014701252 +- 0.000003840,0+,,0.747S 8,,,
6,C- 17,17.022579037 +- 0.000018641,,,193MS 13,,,
